,"Concurrent Benzodiazepine Overdose (%, 95% CI, N)","No Concurrent Benzodiazepine Use (%, 95% CI, N)",Difference (95% CI),P-value (Welch's T-test)
Totals,301 (3.2%),9034 (96.8%), , 
Age (mean years),"43.2 (41.4, 45.0)","40.2 (39.9, 40.5)","3.0 (1.2, 4.8)",0.00141
Pediatric (<18),"0.3% (-0.3, 1.0), 1.0","1.6% (1.3, 1.8), 141.0","-1.2% (-1.9%, -0.5%)",0.00064
Geriatric (>65),"7.6% (4.6, 10.7), 23.0","5.4% (4.9, 5.8), 485.0","2.3% (-0.8%, 5.3%)",0.14411
White,"74.8% (69.8, 79.7), 225.0","61.9% (60.9, 62.9), 5592.0","12.9% (7.8%, 17.9%)",< 0.00001
African American or Hispanic,"21.6% (16.9, 26.3), 65.0","35.0% (34.1, 36.0), 3165.0","-13.4% (-18.2%, -8.7%)",< 0.00001
Female,"47.8% (42.2, 53.5), 144.0","32.1% (31.2, 33.1), 2902.0","15.7% (10.0%, 21.5%)",< 0.00001
Married,"20.3% (15.7, 24.8), 61.0","13.9% (13.2, 14.6), 1255.0","6.4% (1.8%, 11.0%)",0.00703
Medicaid,"46.2% (40.5, 51.8), 139.0","55.1% (54.1, 56.1), 4978.0","-8.9% (-14.7%, -3.2%)",0.00248
Medicare,"24.6% (19.7, 29.5), 74.0","12.2% (11.5, 12.8), 1099.0","12.4% (7.5%, 17.4%)",< 0.00001
Private Insurance,"22.3% (17.5, 27.0), 67.0","14.6% (13.8, 15.3), 1315.0","7.7% (2.9%, 12.5%)",0.00168
Uninsured,"5.3% (2.8, 7.9), 16.0","15.1% (14.3, 15.8), 1363.0","-9.8% (-12.4%, -7.1%)",< 0.00001
Zip Code Income (mean quartile),"2.9 (2.8, 3.0)","2.7 (2.7, 2.7)","0.2 (0.1, 0.4)",0.00042
Charleston Comorbidity Index (mean),"0.4 (0.4, 0.5)","0.3 (0.3, 0.3)","0.1 (0.1, 0.2)",1e-05
Diabetes Mellitus,"12.0% (8.3, 15.6), 36.0","7.7% (7.1, 8.2), 692.0","4.3% (0.6%, 8.0%)",0.02388
Hyperlipidemia,"12.6% (8.9, 16.4), 38.0","5.6% (5.1, 6.0), 503.0","7.1% (3.3%, 10.9%)",0.00031
Obesity,"10.3% (6.8, 13.8), 31.0","2.9% (2.6, 3.2), 262.0","7.4% (3.9%, 10.9%)",4e-05
Hypertension,"34.6% (29.1, 40.0), 104.0","21.7% (20.8, 22.5), 1958.0","12.9% (7.4%, 18.3%)",1e-05
Ischemic Heart Disease,"7.3% (4.4, 10.3), 22.0","4.0% (3.6, 4.4), 358.0","3.3% (0.4%, 6.3%)",0.0281
Mood Disorders,"55.1% (49.5, 60.8), 166.0","22.6% (21.8, 23.5), 2046.0","32.5% (26.8%, 38.2%)",< 0.00001
Aspirin,"4.7% (2.3, 7.0), 14.0","2.0% (1.7, 2.3), 182.0","2.6% (0.2%, 5.0%)",0.03212
Nicotine Dependence,"58.8% (53.2, 64.4), 177.0","54.9% (53.9, 55.9), 4958.0","3.9% (-1.8%, 9.6%)",0.17558
Alcohol-Related Disorders,"11.3% (7.7, 14.9), 34.0","8.9% (8.3, 9.5), 805.0","2.4% (-1.3%, 6.0%)",0.19877
Long-term Opioid Use,"4.7% (2.3, 7.0), 14.0","2.2% (1.9, 2.5), 195.0","2.5% (0.1%, 4.9%)",0.04279
Family History of Drug Abuse,"0.7% (-0.3, 1.6), 2.0","0.1% (0.0, 0.1), 6.0","0.6% (-0.3%, 1.5%)",0.20405
Opioid Use Disorder,"41.2% (35.6, 46.8), 124.0","33.4% (32.4, 34.4), 3019.0","7.8% (2.1%, 13.5%)",0.00738
Anxiety Disorder,"27.6% (22.5, 32.7), 83.0","8.9% (8.3, 9.5), 805.0","18.7% (13.6%, 23.8%)",< 0.00001
Recurrent Seizures,"4.7% (2.3, 7.0), 14.0","2.5% (2.2, 2.9), 229.0","2.1% (-0.3%, 4.5%)",0.08557
Cocaine or Other Stimulant Use Disorder,"13.6% (9.7, 17.5), 41.0","10.5% (9.9, 11.1), 949.0","3.1% (-0.8%, 7.1%)",0.12137
Recurrent ED Visits (# / 1000 patients),"176.1 (116.2, 236.0)","218.0 (205.0, 230.9)","-41.9 (-103.2, 19.4)",0.1798
Repeat Hospitalizations (# / 1000 patients),"43.2 (18.3, 68.1)","31.7 (27.8, 35.5)","11.5 (-13.6, 36.7)",0.36811
Cost (USD),"6035.1 (4778.2, 7292.1)","1911.3 (1759.3, 2063.3)","4123.8 (2857.8, 5389.8)",< 0.00001
Deaths (%),"2.0% (0.4, 3.6), 6.0","2.2% (1.9, 2.5), 200.0","-0.2% (-1.8%, 1.4%)",0.7886
Length of Stay (mean days),"2.6 (2.1, 3.0)","0.9 (0.8, 1.0)","1.7 (1.2, 2.1)",< 0.00001
Admitted,,,,
Concurrent Benzodiazepine Overdose,"100.0% (100.0, 100.0), 301.0","0.0% (0.0, 0.0), 0.0","100.0% (nan%, nan%)",< 0.00001
No Concurrent Benzodiazepine Use,"0.0% (0.0, 0.0), 0.0","100.0% (100.0, 100.0), 9034.0","-100.0% (nan%, nan%)",< 0.00001
Fentanyl Overdose,"0.0% (0.0, 0.0), 0.0","0.0% (0.0, 0.0), 0.0","0.0% (nan%, nan%)",
No Fentanyl on Index Visit,"100.0% (100.0, 100.0), 301.0","100.0% (100.0, 100.0), 9034.0","0.0% (nan%, nan%)",
CT Obtained,"9.0% (5.7, 12.2), 27.0","7.4% (6.9, 8.0), 673.0","1.5% (-1.8%, 4.8%)",0.36407
No CT Obtained,"91.0% (87.8, 94.3), 274.0","92.6% (92.0, 93.1), 8361.0","-1.5% (-4.8%, 1.8%)",0.36407
Mechanical Ventilator Use,"6.3% (3.5, 9.1), 19.0","0.9% (0.7, 1.1), 84.0","5.4% (2.6%, 8.2%)",0.00016
No Mechanical Ventilator Use,"93.7% (90.9, 96.5), 282.0","99.1% (98.9, 99.3), 8950.0","-5.4% (-8.2%, -2.6%)",0.00016
Naloxone Administered,"8.0% (4.9, 11.1), 24.0","10.5% (9.9, 11.1), 947.0","-2.5% (-5.7%, 0.6%)",0.11706
No Naloxone,"92.0% (88.9, 95.1), 277.0","89.5% (88.9, 90.1), 8087.0","2.5% (-0.6%, 5.7%)",0.11706
